AR9,AR16,DC05-06-2010,DC05-6-21,DC05-06-2029,SU 03-24,SU 03-25,DC 04-5-2,AM 076,99 RS 28,99 RS 65,DC 5-5-4,SJ-16,SJ-11,SJ-57,DC 5-6-28,CP1,CP7,CP10,CP14,CP17,CP18,CP21,CP22,CP23,CP103,CP107,CP212,CP702,CP705,CM016,AM1,AM2,AM3,AM4,CT1,CT4,CT6,CT7,CT8,CT9,CT10,CT11,CT13,EO1,EO3,E04,EO5,EO6,EO2,Romero2013
996.2558517,113.1500496,1254.425124172022,491.5813009035276,645.672622947913,1036.3462067271146,1089.6848271963315,1051.6618493038543,1032.2126327549033,1040.3443053900996,1954.6853414164325,1152.0881206256022,931.5391203917288,954.6654134534276,697.2764609601494,221.193873977748,204.3,220.9,221.1,216.2,202.7,521.9,223,214.4,213.3,446.4,221.7,221.5,228.6,221.1,234.810370016807,221,210.3,234.3,220.9,230,289.1,306.5,322,224.5,308.2,329.8,340.3,211.5,362,1046,573,448,1628,841,304
995.2669594,117.0435895,1227.1357946755713,534.8346124974973,559.0565705660108,1029.055689345877,1151.8094896972964,1774.9357341158259,969.4223116254236,912.1407184561269,1820.1793886438295,1234.704810499638,943.1278617400599,975.1994140147971,756.2264259337476,225.0121910448999,228.5,226,522.1,389.6,211.5,565.5,235.9,222,214.4,209.4,225.1,224.1,270.3,540.3,255.878058325224,222.2,211,234.6,221.2,271.6,319.2,317.2,339.4,560.3,307,331.2,347.4,214.7,1970,706,690,591,623,624,465
989.3934198,120.0368462,456.75651507383117,554.44886375657,1971.8035172092286,1250.4950504407918,1046.6623078931168,752.642297160329,478.02183522372627,2513.6359990648434,405.3526448789128,1267.9074118601625,946.4787253587448,985.9462873094362,765.8115870975378,225.58769394133753,412.8,229,538.7,497.4,215.9,739.8,260.5,229.4,215.5,215.6,317.8,224.5,448.1,635.2,413.739601983753,440.5,211.4,239.2,221.8,493.1,372.6,325,347,560.6,336.3,342.1,348.2,214.9,738,1014,569,566,689,1556,474
978.3405217,122.5757195,1997.6708749698398,1128.9399176997297,1172.803290787295,1068.121130608212,967.715289099828,1183.4499705308842,1057.180809125871,586.1811111504946,1386.2279012553788,1310.0183949422214,975.5393124611038,986.2897162337179,775.556610829426,225.68281682683775,537.1,230.4,551.7,499.8,217,976.9,269.9,239.5,220.3,216.1,456.7,225.9,517.6,1046,566.773689719433,485.4,216.5,243.5,221.9,524.9,400.9,330.4,371.4,579.3,374.9,349.6,350.5,217.6,1024,944,2906,898,604,1042,513
966.0593404,124.0544777,1975.3750774884943,517.7088458961919,1471.948191016964,2867.567930776257,2203.1462742110207,1327.5957546878271,478.253269796595,542.5373518386014,1159.820062065926,1200.1482185958243,981.0342712541463,997.9970731908453,781.9995321124773,227.74519469403455,732.4,241.3,555.1,508.5,218.7,1100.7,343.3,241,221,216.3,463.8,229.1,575.8,NA,572.065198375794,499.1,217.6,244.2,222.1,551.6,450.6,335.8,372.7,580.7,377.9,350.5,352.1,218.3,753,668,603,513,400,588,514
950.9030053,332.5347084,497.27756752225537,1810.6185225479471,985.1519072637677,1053.6598457856185,652.645573699699,1011.6327694438863,1189.9497948444998,1098.9015625890042,368.0825758911205,1125.8339779284809,996.497048398984,1014.1826789572783,789.4408791100826,227.92573738587274,765.6,275.3,557.8,508.8,224.7,1533.5,397.2,248.6,221.5,219.3,529.2,229.2,586.4,NA,580.539887048116,519.5,220.4,251.5,223,552.7,465.9,447.1,475.1,608.8,463.2,350.6,429.5,218.9,389,580,559,452,620,1702,523
918.2020197,345.9621815,1182.6519671476124,1750.5495780591725,689.6582503988867,481.4579322824158,1224.8328785086273,1155.374756673926,1751.9713193068142,535.7136473942732,540.9866636299995,1227.7688931503674,1008.6749814009598,1015.7924474804793,796.7541604514485,230.4547700921673,1507.8,455.9,561.7,520.3,226.5,2065.5,455.6,258.7,229.5,221.7,572.9,229.3,920.6,NA,644.611994954468,520.4,230.7,288.3,232.3,564.6,472.4,449.2,475.8,639.4,469.5,351.6,488.2,221.2,675,850,535,511,491,586,539
906.5457103,375.2632222,1871.819964227684,604.312983902132,605.9317321866228,540.0060785703496,472.9146529352539,1504.9506794519775,1131.7218845034238,1010.2054965826648,790.6550066516673,1234.3018037088789,1009.4236011478646,1021.6406106806427,799.7769669067706,232.8128593295126,1654.5,485.5,575.1,529.8,226.6,2719.7,457.7,260.3,235.4,228.4,698.4,230.9,NA,NA,781.948968197819,524.4,230.8,396.3,232.8,621.4,483.1,456.7,476.1,766.3,469.9,352,492.9,221.4,435,986,2739,2744,2807,1212,556
899.4234143,385.0977213,1208.6288579691145,600.2388756208826,615.7695482089206,1021.7128039435922,1216.8133284562819,1479.9090065058042,538.5274844912722,691.8124642092853,1292.8951777588638,1277.5321598522123,1012.5121074548084,1058.5381835684145,804.9552361622602,233.1156313352353,NA,508.6,575.5,535.1,226.7,NA,483.4,273.6,355,280.1,862,233.4,NA,NA,850.615997193803,524.8,232,466.5,233.2,632.1,485.4,459.8,476.4,NA,470.2,356,507.6,221.7,394,583,552,971,569,554,580
790.3068679,444.7667971,780.1435463653727,1387.1479417358157,2075.0081743873166,2738.2055429272255,NA,1239.758358957164,1142.5555838461833,645.8648085850858,1217.6834678614423,1263.4914067544662,1012.9485906918776,1085.379164682009,817.0287155405448,233.146505774314,NA,519.3,588,536.9,227.6,NA,485.2,325.1,538.2,296.7,953.4,239,NA,NA,923.566516440563,541.5,232.3,469.6,237.5,637.6,487.6,461,476.9,NA,471.2,360,513.3,222.7,426,1160,1036,357,937,899,801
706.4758934,447.7709841,1174.3567393982796,1367.7627320759252,983.6866849748501,589.1794254004654,NA,1273.235754501203,461.41140255119416,649.8073668056413,563.2709951220156,1201.464645182511,1015.7566711453352,1087.6089164193197,829.2916467194449,233.28291958603106,NA,523.6,601.6,538,228.5,NA,490.6,406.1,560.2,314.9,1212.3,240.7,NA,NA,1126.77649048624,558,233.8,478.7,250.2,653.7,494.9,461.5,500.1,NA,472.7,398.3,536.9,222.9,3317,757,1260,544,1093,973,824
674.729194,474.6187374,1186.1989293818024,668.0435974587857,932.7110687087898,1034.9359472872502,NA,1161.778532830373,477.4229652272639,2589.6060673820925,1001.9336696476753,1077.024271994601,1017.0667190998871,1090.6899988281039,904.9825474469187,237.8159906196342,NA,538.7,622.9,539.3,242.2,NA,503.1,410.3,603.7,444.2,1536.1,244.7,NA,NA,NA,569.2,236.1,478.9,269.7,672.2,519.1,461.7,511.2,NA,473.1,402.3,539.6,223.7,857,796,521,799,712,1187,909
642.3849448,477.1935394,2017.0054944770402,1842.0333324778023,547.0788314952189,976.7296558575458,NA,1310.048848882002,1313.0852893091733,541.7914939874614,1020.3839567891227,1096.7151577894958,1022.1420311120461,1090.7115519404028,945.145996486087,432.53137329556546,NA,547.8,636.7,540.1,243.5,NA,516.8,481.9,776.2,476.7,2640,245.7,NA,NA,NA,576.2,250.3,505.1,316.3,710.9,526,464.2,550.5,NA,491.1,424.3,541,223.8,708,581,512,1193,2000,553,997
629.4122619,498.4649075,1388.3939383546165,1730.395970132162,609.5901430101912,611.3521956601357,NA,1427.8801645997178,1166.238542749384,960.2688702104939,1190.7190197051914,1070.7777626154118,1032.8168668259525,1093.3543695467733,975.1071092572689,465.3329981156851,NA,549.2,713.4,545.2,249.2,NA,531.8,482.1,884.5,505.7,NA,254.5,NA,NA,NA,581.4,261.5,512.6,369,814.9,549.1,474.1,552.4,NA,495,440.9,541,223.8,654,661,538,605,367,919,1006
621.6114564,501.7648173,1381.1357503855609,1167.0136985638778,2073.114546743423,1140.3115820325463,NA,634.0318014331519,493.3762360168468,577.6182592176065,461.22790550582255,1072.1826396175595,1040.4515874424787,1099.86289562556,990.0472448126133,477.0683581946739,NA,581.8,806,547.8,253.3,NA,542.2,512.6,939.5,519.5,NA,255.7,NA,NA,NA,596.1,324.9,534.3,478.8,896.5,635.3,477.2,570.2,NA,509.5,441.1,547,223.9,1032,1078,524,557,595,571,1371
532.6366304,503.0738377,1377.8498219522523,1234.4536554903302,506.7215682341989,644.3912348719588,NA,668.983914301652,1216.5476762289245,616.5351994160662,1935.7613284671595,1185.5390870093001,1047.0268238764052,1105.5616062954828,992.4417396675728,489.3711018949704,NA,598.4,930.8,556.1,270.5,NA,548.7,512.9,978.2,534.5,NA,263.3,NA,NA,NA,599.6,430.9,535.6,482.2,932.8,635.8,492,599.3,NA,509.7,441.9,572.6,224,653,688,643,558,534,475,1812
