AR16,AR9,DC05-06-2010, DC05-6-21,DC05-06-2029,SU 03-24 ,SU 03-25 ,DC 04-5-2,AM 076 ,99 RS 28,99 RS 65,DC 5-5-4 ,SJ-16 ,SJ-11 ,SJ-57,DC 5-6-28 ,CP1,CP7,CP10,CP14,CP17,CP18,CP21,CP22,CP23,CP103,CP107,CP212,CP702,CP705,CM016,AM1,AM2,AM3,AM4,CT1,CT4,CT6,CT7,CT8,CT9,CT10,CT11,EO1,EO3,E04,EO5,EO6,EO2,Romero2013,99RS38,99RS39,11RC20,13AP53,13AP54,99RS53,99RS55,11RC27,13AP33
2519.444398,147.6754622,1254,492,646,1036,1090,1052,1032,1040,1955,1152,931.5,954.7,697.3,221.2,204.3,220.9,221.1,216.2,202.7,521.9,223,214.40,213.30,446.4,221.7,221.5,229,221.10,234.8,221,210.3,234.3,220.9,230,289.1,306.5,322,224.5,308.2,329.8,340.3,362,1046,573,448,1628,841,304,441.9,495.9,2982,313.7,435.7,516.8,369.5,495.8,327.5
2271.198068,164.5517806,1227,535,559,1029,1152,1775,969,912,1820,1235,943.1,975.2,756.2,225.0,228.5,226.0,522.1,389.6,211.5,565.5,235.9,222.00,214.40,209.4,225.1,224.1,270,540.30,255.9,222.2,211,234.6,221.2,271.6,319.2,317.2,339.4,560.3,307,331.2,347.4,1970,706,690,591,623,624,465,502.4,509.3,2648,326.1,464.8,519.9,391.2,499.4,451.5
2106.069264,233.1349547,457,554,1972,1250,1047,753,478,2514,405,1268,946.5,985.9,765.8,225.6,412.8,229.0,538.7,497.4,215.9,739.8,260.5,229.40,215.50,215.6,317.8,224.5,448,635.20,413.7,440.5,211.4,239.2,221.8,493.1,372.6,325,347,560.6,336.3,342.1,348.2,738,1014,569,566,689,1556,474,507.8,510.4,2462,473.7,468.2,535.2,458.1,512.8,498.4
2085.170277,324.0788683,1998,1129,1173,1068,968,1183,1057,586,1386,1310,975.5,986.3,775.6,225.7,537.1,230.4,551.7,499.8,217.0,976.9,269.9,239.50,220.30,216.1,456.7,225.9,518,1046,566.8,485.4,216.5,243.5,221.9,524.9,400.9,330.4,371.4,579.3,374.9,349.6,350.5,1024,944,2906,898,604,1042,513,515.2,512.5,2162,514.5,506.6,554.4,459.6,515.6,503.3
1981.521759,509.8335108,1975,518,1472,2868,2203,1328,478,543,1160,1200,981.0,998.0,782.0,227.7,732.4,241.3,555.1,508.5,218.7,1100.7,343.3,241.00,221.00,216.3,463.8,229.1,576,,572.1,499.1,217.6,244.2,222.1,551.6,450.6,335.8,372.7,580.7,377.9,350.5,352.1,753,668,603,513,400,588,514,520.0,513.5,2140,522.0,507.4,561.0,467.7,520.0,507.5
1682.964083,601.0327558,497,1811,985,1054,653,1012,1190,1099,368,1126,996.5,1014.2,789.4,227.9,765.6,275.3,557.8,508.8,224.7,1533.5,397.2,248.60,221.50,219.3,529.2,229.2,586,,580.5,519.5,220.4,251.5,223,552.7,465.9,447.1,475.1,608.8,463.2,350.6,429.5,389,580,559,452,620,1702,523,520.0,514.6,2032,523.5,508.4,565.0,488.1,523.0,510.3
1570.500663,606.1530685,1183,1751,690,481,1225,1155,1752,536,541,1228,1008.7,1015.8,796.8,230.5,1507.8,455.9,561.7,520.3,226.5,2065.5,455.6,258.70,229.50,221.7,572.9,229.3,921,,644.6,520.4,230.7,288.3,232.3,564.6,472.4,449.2,475.8,639.4,469.5,351.6,488.2,675,850,535,511,491,586,539,522.8,522.5,2002,523.5,520.2,574.1,491.0,524.7,510.8
1501.020095,619.6962968,1872,604,606,540,473,1505,1132,1010,791,1234,1009.4,1021.6,799.8,232.8,1654.5,485.5,575.1,529.8,226.6,2719.7,457.7,260.30,235.40,228.4,698.4,230.9,,,781.9,524.4,230.8,396.3,232.8,621.4,483.1,456.7,476.1,766.3,469.9,352,492.9,435,986,2739,2744,2807,1212,556,530.0,522.7,1874,529.1,528.0,574.3,495.9,527.0,526.8
1315.022691,638.9656034,1209,600,616,1022,1217,1480,539,692,1293,1278,1012.5,1058.5,805.0,233.1,,508.6,575.5,535.1,226.7,,483.4,273.60,355.00,280.1,862,233.4,,,850.6,524.8,232,466.5,233.2,632.1,485.4,459.8,476.4,,470.2,356,507.6,394,583,552,971,569,554,580,531.8,528.3,1698,532.1,529.0,574.9,497.8,528.2,539.5
1180.74444,648.1348911,780,1387,2075,2738,,1240,1143,646,1218,1263,1012.9,1085.4,817.0,233.1,,519.3,588,536.9,227.6,,485.2,325.10,538.20,296.7,953.4,239,,,923.6,541.5,232.3,469.6,237.5,637.6,487.6,461,476.9,,471.2,360,513.3,426,1160,1036,357,937,899,801,534.2,530.0,1482,532.6,535.0,578.4,499.4,536.6,543.2
1153.990961,759.8588874,1174,1368,984,589,,1273,461,650,563,1201,1015.8,1087.6,829.3,233.3,,523.6,601.6,538.0,228.5,,490.6,406.10,560.20,314.9,1212.3,240.7,,,1126.8,558,233.8,478.7,250.2,653.7,494.9,461.5,500.1,,472.7,398.3,536.9,3317,757,1260,544,1093,973,824,542.4,531.2,1440,534.1,535.0,578.4,504.3,537.2,548.1
1101.941372,854.5250382,1186,668,933,1035,,1162,477,2590,1002,1077,1017.1,1090.7,905.0,237.8,,538.7,622.9,539.3,242.2,,503.1,410.30,603.70,444.2,1536.1,244.7,,,,569.2,236.1,478.9,269.7,672.2,519.1,461.7,511.2,,473.1,402.3,539.6,857,796,521,799,712,1187,909,548.3,532.3,1282,537.1,537.1,583.4,510.4,543.2,550.8
1076.365766,855.1148635,2017,1842,547,977,,1310,1313,542,1020,1097,1022.1,1090.7,945.1,432.5,,547.8,636.7,540.1,243.5,,516.8,481.90,776.20,476.7,2640,245.7,,,,576.2,250.3,505.1,316.3,710.9,526,464.2,550.5,,491.1,424.3,541,708,581,512,1193,2000,553,997,549.1,545.2,1278,538.4,541.8,585.9,516.6,554.8,552.8
1041.204847,872.6659995,1388,1730,610,611,,1428,1166,960,1191,1071,1032.8,1093.4,975.1,465.3,,549.2,713.4,545.2,249.2,,531.8,482.10,884.50,505.7,,254.5,,,,581.4,261.5,512.6,369,814.9,549.1,474.1,552.4,,495,440.9,541,654,661,538,605,367,919,1006,561.3,556.1,1224,540.8,561.2,587.7,527.4,556.1,568.8
1033.83519,920.4686639,1381,1167,2073,1140,,634,493,578,461,1072,1040.5,1099.9,990.0,477.1,,581.8,806,547.8,253.3,,542.2,512.60,939.50,519.5,,255.7,,,,596.1,324.9,534.3,478.8,896.5,635.3,477.2,570.2,,509.5,441.1,547,1032,1078,524,557,595,571,1371,564.2,556.6,1214,546.5,574.3,590.2,532.4,556.7,572.1
1015.627155,920.7507812,1378,1234,507,644,,669,1217,617,1936,1186,1047.0,1105.6,992.4,489.4,,598.4,930.8,556.1,270.5,,548.7,512.90,978.20,534.5,,263.3,,,,599.6,430.9,535.6,482.2,932.8,635.8,492,599.3,,509.7,441.9,572.6,653,688,643,558,534,475,1812,564.3,563.5,1174,547.7,579.8,592.9,539.6,559.2,574.1
1003.881411,932.7136754,2134,934,1339,1016,,1156,1116,775,1038,1079,1047.1,1115.3,994.8,508.6,,603.0,958.1,558.6,282.1,,552,517.10,1084.40,546.9,,318.1,,,,599.7,499.1,555.2,507.9,975.4,643.4,495.1,599.5,,513,442.6,581.4,928,586,1104,1102,560,2252,1847,565.0,572.7,1122,548.5,580.9,621.3,544.0,559.6,575.5
